id;abbreviation;first_name;last_name;email;phone_number
1;calculate networks;Kyra;Moll;Joline.Gbel@yahoo.com;Realigned
2;deposit;Marlo;Huebel;Hugo_Obergfll@gmail.com;override
3;Small Bremen Sleek;Jona;Richards;Cosima.Gollnow34@yahoo.com;Berkshire indigo
4;Granite;Marlo;Umminger;Anabel54@gmail.com;Infrastructure Berkshire Plastic
5;pink;Svenja;Esenwein;Franka.Liebach@hotmail.com;Factors
6;Concrete Account;Henrik;Roos;Leander.Eisenlauer99@yahoo.com;payment lavender
7;24;Ana;Norris;Talea4@yahoo.com;Electronics
8;North bluetooth Bike;Jannes;Kleiss;Luisa.Ade13@hotmail.com;Secured
9;Bedfordshire;Lene;Marahrens;Emilie5@gmail.com;architecture 24/7 reinvent
10;Rustic Operations;Louis;Unger;Tuana.Cierpinski13@yahoo.com;Corners
